relative_path,size_bytes,modified_time_iso
00.ACROBAT/Daanpradeep/159_B008812_दानप्रदीप (गु.) अनुवाद_ocred.pdf,34944775,2025-09-28T18:02:10.000Z
00.ACROBAT/Dharm Sangraha/170_dharm_sangraha_part_01_022039_hr6_ocred.pdf,35887641,2025-09-28T18:02:00.000Z
00.ACROBAT/Dharm Sangraha/171_dharm_sangraha_part_02_022040_hr6_ocred.pdf,37087454,2025-09-28T18:01:58.000Z
00.ACROBAT/Dharm Sangraha/172_dharm_sangraha_part_03_022041_hr6_ocred.pdf,38964799,2025-09-28T18:01:58.000Z
00.ACROBAT/Dharm Sangraha/173_dharm_sangraha_part_04_022042_hr6_ocred.pdf,26963740,2025-09-28T17:56:26.000Z
00.ACROBAT/Dharm Sangraha/174_dharm_sangraha_part_05_022043_hr6_ocred.pdf,30062274,2025-09-28T18:00:08.000Z
00.ACROBAT/Dharmratna Prakaran/dharmratna_prakaran_part_01_005503_hr6.pdf,39543688,2025-09-28T18:02:10.000Z
00.ACROBAT/Dharmratna Prakaran/dharmratna_prakaran_part_03_022155_hr6.pdf,21412897,2025-09-28T18:02:08.000Z
00.ACROBAT/Jitkalpa Sutra/119_agam_38_chhed_05_jitkalpa_sutra_008071_hr.pdf,37302423,2025-09-28T18:02:00.000Z
00.ACROBAT/Painnay suttai/205_B003860_Painnay_suttai_Part_2_001045_पइण्णयसुत्ताइं भाग-2.pdf,27211701,2025-09-28T18:02:00.000Z
00.ACROBAT/Paumchariyam/200_B026227_Paum_chariyam_Part_1_001272_पउमचरियं (पद्मचरित्र) सह (हिं.) अनुवाद भाग-1.pdf,53725184,2025-09-28T18:02:06.000Z
00.ACROBAT/Paumchariyam/201_B039739_paumchariyam_part_02_004025_std.pdf,22163114,2025-09-28T17:58:20.000Z
00.ACROBAT/Shat Purush Charitra/302_shat_purush_charitra_022724_hr6.pdf,18498970,2025-09-28T17:58:58.000Z
00.ACROBAT/Tattvarth Lokwartikam/130_B005443_duplicat_Tatwarth-Lokwartikam_ocred.pdf,46739474,2025-09-28T17:57:04.000Z
00.ACROBAT/Tattvarthadhigam Sutra-pratham adhyay/131_B041744_तत्त्वार्थाधिगमसूत्र (प्रथम अध्याय) भाग 2.pdf,375498345,2025-09-28T18:06:36.000Z
00.ACROBAT/Tattvarthvartikam Rajvartikam/142_B010716_तत्त्वार्थवार्तिकम् (राजवार्तिकम्) भाग 1.pdf,269915943,2025-09-28T18:06:24.000Z
00.ACROBAT/Tattvarthvartikam Rajvartikam/143_B010717_तत्त्वार्थवार्तिक (राजवार्तिक) भाग 2.pdf,310417054,2025-09-28T18:06:26.000Z
00.ACROBAT/Tatvarthdhigan_bhag4/129_B062634_तत्त्वार्थाधिगम सूत्र (अध्याय-4) भाग 4.pdf,106952505,2025-09-28T18:02:08.000Z
